,country,year,life_expectancy
1,Afghanistan,1800,28.21
3,Albania,1800,35.4
4,Algeria,1800,28.82
7,Angola,1800,26.98
9,Antigua and Barbuda,1800,33.54
10,Argentina,1800,33.2
11,Armenia,1800,34.0
12,Aruba,1800,34.42
13,Australia,1800,34.05
14,Austria,1800,34.4
15,Azerbaijan,1800,29.17
16,Bahamas,1800,35.18
17,Bahrain,1800,30.3
18,Bangladesh,1800,25.5
19,Barbados,1800,32.12
20,Belarus,1800,36.2
21,Belgium,1800,40.0
22,Belize,1800,26.5
23,Benin,1800,31.0
25,Bhutan,1800,28.8
26,Bolivia,1800,33.0
27,Bosnia and Herzegovina,1800,35.1
28,Botswana,1800,33.6
29,Brazil,1800,32.0
31,Brunei,1800,29.2
32,Bulgaria,1800,35.8
33,Burkina Faso,1800,29.2
34,Burundi,1800,31.5
35,Cambodia,1800,35.0
36,Cameroon,1800,28.75
37,Canada,1800,39.0
38,Cape Verde,1800,33.8
40,Central African Republic,1800,30.0
41,Chad,1800,30.9
43,Chile,1800,32.0
44,China,1800,32.0
47,Colombia,1800,32.0
48,Comoros,1800,32.1
49,"Congo, Dem. Rep.",1800,31.6
50,"Congo, Rep.",1800,32.7
52,Costa Rica,1800,30.21
53,Cote d'Ivoire,1800,31.16
54,Croatia,1800,36.1
55,Cuba,1800,32.2
56,Cyprus,1800,38.5
