,country,year,life_expectancy
23608,Honduras,1851,33.9
23609,"Hong Kong, China",1851,34.9
23610,Hungary,1851,36.0
23611,Iceland,1851,30.01
23612,India,1851,25.44
23613,Indonesia,1851,30.0
23614,Iran,1851,25.6
23615,Iraq,1851,31.2
23616,Ireland,1851,38.3
23618,Israel,1851,32.0
23619,Italy,1851,29.69
23620,Jamaica,1851,34.2
23621,Japan,1851,36.42
23623,Jordan,1851,31.7
23624,Kazakhstan,1851,26.2
23625,Kenya,1851,25.5
23626,Kiribati,1851,24.9
23627,North Korea,1851,26.0
23628,South Korea,1851,25.8
23631,Kuwait,1851,26.0
23632,Kyrgyz Republic,1851,23.94
23633,Lao,1851,31.9
23634,Latvia,1851,33.0
23635,Lebanon,1851,29.7
23636,Lesotho,1851,32.8
23637,Liberia,1851,31.1
23638,Libya,1851,33.1
23640,Lithuania,1851,28.9
23641,Luxembourg,1851,36.9
23642,"Macao, China",1851,34.7
23643,"Macedonia, FYR",1851,36.1
23644,Madagascar,1851,30.5
23645,Malawi,1851,30.3
23646,Malaysia,1851,30.6
23647,Maldives,1851,32.65
23648,Mali,1851,26.41
23649,Malta,1851,28.7
23651,Martinique,1851,30.15
23652,Mauritania,1851,32.0
23653,Mauritius,1851,36.13
23654,Mayotte,1851,32.5
23655,Mexico,1851,26.9
23656,"Micronesia, Fed. Sts.",1851,26.7
23657,Moldova,1851,33.15
23659,Mongolia,1851,31.8
23660,Montenegro,1851,35.4
23662,Morocco,1851,33.1
23663,Mozambique,1851,30.28
23664,Myanmar,1851,30.8
23665,Namibia,1851,32.4
23667,Nepal,1851,32.8
23668,Netherlands,1851,40.0
23669,Netherlands Antilles,1851,34.41
23670,New Caledonia,1851,26.0
23671,New Zealand,1851,34.05
23673,Nicaragua,1851,25.4
23674,Niger,1851,30.8
23675,Nigeria,1851,30.4
23680,Norway,1851,49.74
23681,Oman,1851,32.3
23682,Pakistan,1851,25.8
23684,Panama,1851,32.9
23685,Papua New Guinea,1851,31.5
23686,Paraguay,1851,35.5
23687,Peru,1851,35.7
23688,Philippines,1851,30.9
23690,Poland,1851,35.9
23691,Portugal,1851,35.6
23692,Puerto Rico,1851,30.43
23693,Qatar,1851,30.8
23694,Reunion,1851,33.0
23695,Romania,1851,35.7
23696,Russia,1851,29.57
23697,Rwanda,1851,31.8
23701,St. Lucia,1851,28.01
23703,St. Vincent and the Grenadines,1851,25.99
23705,Samoa,1851,25.4
23707,Sao Tome and Principe,1851,31.0
23708,Saudi Arabia,1851,32.1
23709,Senegal,1851,25.2
23710,Serbia,1851,35.5
23713,Seychelles,1851,37.0
23714,Sierra Leone,1851,25.1
23715,Singapore,1851,34.0
23716,Slovak Republic,1851,36.4
23717,Slovenia,1851,36.6
23718,Solomon Islands,1851,25.1
23719,Somalia,1851,29.4
23721,South Africa,1851,33.5
23723,Spain,1851,29.5
23724,Sri Lanka,1851,32.6
23725,Sudan,1851,31.4
23726,Suriname,1851,32.9
23728,Swaziland,1851,32.3
23729,Sweden,1851,43.62
23730,Switzerland,1851,38.0
23731,Syria,1851,31.1
23732,Taiwan,1851,28.3
23733,Tajikistan,1851,24.24
23734,Tanzania,1851,32.2
23735,Thailand,1851,30.4
23736,Timor-Leste,1851,28.95
23737,Togo,1851,31.3
23739,Tonga,1851,28.2
23741,Trinidad and Tobago,1851,38.8
23742,Tunisia,1851,28.8
23743,Turkey,1851,35.0
23744,Turkmenistan,1851,24.0
23747,Uganda,1851,25.3
23748,Ukraine,1851,36.6
23749,United Arab Emirates,1851,30.7
23750,United Kingdom,1851,41.42
23751,United States,1851,39.41
23752,Uruguay,1851,32.9
23754,Uzbekistan,1851,26.93
23756,Vanuatu,1851,24.3
23757,Venezuela,1851,32.2
23758,West Bank and Gaza,1851,32.1
23760,Western Sahara,1851,34.75
23761,Vietnam,1851,32.0
23762,Virgin Islands (U.S.),1851,33.4
23765,Yemen,1851,23.39
23767,Zambia,1851,32.6
23768,Zimbabwe,1851,33.7
23770,South Sudan,1851,26.67
23973,Afghanistan,1852,27.68
23975,Albania,1852,35.4
23976,Algeria,1852,28.82
23979,Angola,1852,26.98
23981,Antigua and Barbuda,1852,33.54
23982,Argentina,1852,33.2
23983,Armenia,1852,34.0
23984,Aruba,1852,34.42
23985,Australia,1852,34.05
23986,Austria,1852,34.4
23987,Azerbaijan,1852,29.17
23988,Bahamas,1852,35.18
23989,Bahrain,1852,30.3
23990,Bangladesh,1852,25.5
23991,Barbados,1852,32.12
23992,Belarus,1852,36.2
23993,Belgium,1852,41.77
23994,Belize,1852,26.5
23995,Benin,1852,31.0
23997,Bhutan,1852,28.8
23998,Bolivia,1852,33.0
23999,Bosnia and Herzegovina,1852,35.1
24000,Botswana,1852,33.6
24001,Brazil,1852,31.99
24003,Brunei,1852,29.2
24004,Bulgaria,1852,38.09
24005,Burkina Faso,1852,29.2
24006,Burundi,1852,31.5
24007,Cambodia,1852,35.0
24008,Cameroon,1852,28.75
24009,Canada,1852,41.11
24010,Cape Verde,1852,33.8
24012,Central African Republic,1852,30.0
24013,Chad,1852,30.9
24015,Chile,1852,32.0
24016,China,1852,30.0
24019,Colombia,1852,32.0
24020,Comoros,1852,32.1
24021,"Congo, Dem. Rep.",1852,31.6
24022,"Congo, Rep.",1852,32.7
24024,Costa Rica,1852,30.21
24025,Cote d'Ivoire,1852,31.16
24026,Croatia,1852,36.1
24027,Cuba,1852,36.38
24028,Cyprus,1852,38.51
24029,Czech Republic,1852,34.95
24031,Denmark,1852,43.08
24032,Djibouti,1852,29.9
24034,Dominican Republic,1852,29.9
24036,Ecuador,1852,32.9
24037,Egypt,1852,33.0
24038,El Salvador,1852,28.7
24039,Equatorial Guinea,1852,29.8
24040,Eritrea,1852,30.2
24042,Estonia,1852,36.18
24043,Ethiopia,1852,29.7
24046,Fiji,1852,26.1
24047,Finland,1852,32.86
24048,France,1852,41.32
24049,French Guiana,1852,30.5
24050,French Polynesia,1852,25.6
24051,Gabon,1852,30.6
24052,Gambia,1852,28.8
24053,Georgia,1852,31.87
24054,Germany,1852,38.37
24055,Ghana,1852,28.0
24057,Greece,1852,36.6
24058,Greenland,1852,33.87
24059,Grenada,1852,37.3
24060,Guadeloupe,1852,27.66
24061,Guam,1852,27.5
24062,Guatemala,1852,25.81
24064,Guinea,1852,30.04
24065,Guinea-Bissau,1852,32.0
24066,Guyana,1852,31.12
24067,Haiti,1852,29.0
24069,Honduras,1852,33.9
24070,"Hong Kong, China",1852,34.9
24071,Hungary,1852,36.0
24072,Iceland,1852,42.1
24073,India,1852,25.44
24074,Indonesia,1852,30.0
24075,Iran,1852,25.6
24076,Iraq,1852,31.2
24077,Ireland,1852,38.3
24079,Israel,1852,32.0
24080,Italy,1852,29.69
24081,Jamaica,1852,34.2
24082,Japan,1852,36.42
24084,Jordan,1852,31.7
24085,Kazakhstan,1852,26.2
24086,Kenya,1852,25.5
24087,Kiribati,1852,24.9
24088,North Korea,1852,26.0
24089,South Korea,1852,25.8
24092,Kuwait,1852,26.0
24093,Kyrgyz Republic,1852,23.94
24094,Lao,1852,31.9
24095,Latvia,1852,33.0
24096,Lebanon,1852,29.7
24097,Lesotho,1852,32.8
24098,Liberia,1852,31.1
24099,Libya,1852,33.1
24101,Lithuania,1852,28.9
24102,Luxembourg,1852,36.9
24103,"Macao, China",1852,34.7
24104,"Macedonia, FYR",1852,36.1
24105,Madagascar,1852,30.5
24106,Malawi,1852,30.3
24107,Malaysia,1852,30.6
24108,Maldives,1852,32.65
24109,Mali,1852,26.41
24110,Malta,1852,28.7
24112,Martinique,1852,30.15
24113,Mauritania,1852,32.0
24114,Mauritius,1852,34.46
24115,Mayotte,1852,32.5
24116,Mexico,1852,26.9
24117,"Micronesia, Fed. Sts.",1852,26.7
24118,Moldova,1852,33.15
24120,Mongolia,1852,31.8
24121,Montenegro,1852,35.4
24123,Morocco,1852,33.1
24124,Mozambique,1852,30.28
24125,Myanmar,1852,30.8
24126,Namibia,1852,32.4
24128,Nepal,1852,32.8
24129,Netherlands,1852,38.66
24130,Netherlands Antilles,1852,34.41
24131,New Caledonia,1852,26.0
24132,New Zealand,1852,34.05
24134,Nicaragua,1852,25.4
24135,Niger,1852,30.8
24136,Nigeria,1852,30.4
24141,Norway,1852,48.46
24142,Oman,1852,32.3
24143,Pakistan,1852,25.8
24145,Panama,1852,32.9
24146,Papua New Guinea,1852,31.5
24147,Paraguay,1852,35.5
24148,Peru,1852,35.7
24149,Philippines,1852,30.9
24151,Poland,1852,35.9
24152,Portugal,1852,35.6
24153,Puerto Rico,1852,30.43
24154,Qatar,1852,30.8
24155,Reunion,1852,33.0
24156,Romania,1852,35.7
24157,Russia,1852,29.57
24158,Rwanda,1852,31.8
24162,St. Lucia,1852,28.01
24164,St. Vincent and the Grenadines,1852,25.99
24166,Samoa,1852,25.4
24168,Sao Tome and Principe,1852,31.0
24169,Saudi Arabia,1852,32.1
24170,Senegal,1852,25.2
24171,Serbia,1852,35.5
24174,Seychelles,1852,37.0
24175,Sierra Leone,1852,25.1
24176,Singapore,1852,34.0
24177,Slovak Republic,1852,36.4
24178,Slovenia,1852,36.6
